video_num,video_file_name,level_of_violence,threat / action,weapons,fight,yell,throw,crowdiness,Fast Moves,Blood,violence
1,V_1,low,action,0,1,0,0,0,1,0,1
2,V_2,medium,action,0,1,0,0,0,1,0,1
3,V_5,medium,action,0,1,0,0,0,1,0,1
4,V_11,medium,action,0,1,1,0,0,1,0,1
5,V_14,high,action,0,1,0,1,1,1,1,1
6,V_23,medium,action,0,1,0,0,0,1,0,1
7,V_19,medium,action,0,1,0,0,0,1,0,1
8,V_46,medium,action,0,1,1,1,1,1,0,1
9,V_50,medium,action,0,1,0,0,1,1,0,1
10,V_54,medium,action,0,1,0,0,1,1,0,1
11,V_68,medium,action,0,1,1,0,1,1,0,1
12,V_104,high,action,0,1,1,1,1,1,1,1
13,V_119,medium,action,0,1,0,0,1,1,0,1
14,V_145,high,action,0,1,1,0,1,1,1,1
15,V_259,medium,action,0,1,0,0,0,1,0,1
16,V_277,medium,action,0,1,0,0,1,1,0,1
17,V_925,medium,action,0,1,1,0,0,1,0,1
18,V_919,medium,action,0,1,0,1,1,1,0,1
19,V_961,medium,action,0,1,1,0,0,1,0,1
20,V_935,medium,action,0,1,0,0,1,1,0,1
21,V_877,medium,action,1,1,0,1,1,1,0,1
22,V_874,medium,action,1,1,0,1,1,1,0,1
23,V_859,low,action,0,1,0,0,1,1,0,1
24,V_828,medium,action,0,1,0,0,1,1,0,1
25,V_791,medium,action,0,1,1,0,0,1,0,1
26,NV_17,none,none,1,0,0,0,0,1,0,0
27,NV_44,none,none,0,0,0,0,0,1,0,0
28,NV_52,none,none,0,0,0,0,1,1,0,0
29,NV_97,none,none,0,0,0,0,0,1,0,0
30,NV_291,none,none,1,0,0,0,0,1,0,0
31,NV_309,none,none,0,0,0,0,0,0,0,0
32,NV_352,none,none,0,0,0,0,0,0,0,0
33,NV_354,none,none,0,0,0,0,0,0,0,0
34,NV_360,none,none,0,0,0,0,0,0,0,0
35,NV_367,none,none,0,0,0,0,0,0,0,0
36,NV_356,none,none,0,0,0,0,0,0,0,0
37,NV_436,none,none,0,0,0,0,1,0,0,0
38,NV_409,none,none,0,0,0,0,0,0,0,0
39,NV_410,none,none,0,0,0,0,0,1,0,0
